# Iteration, E/spin, M/spin
463, -0.3938086,  0.8222656
464, -0.4011523,  0.8359375
465, -0.4039063,  0.8496094
466, -0.3956445,  0.8320312
467, -0.3800391,  0.7871094
468, -0.3901367,  0.7871094
469, -0.3782031,  0.7832031
470, -0.3699414,  0.7695312
471, -0.3846289,  0.8007812
472, -0.3497461,  0.7539062
473, -0.3690234,  0.7773438
474, -0.3772852,  0.7871094
475, -0.3791211,  0.7734375
476, -0.3726953,  0.7558594
477, -0.3717773,  0.7519531
478, -0.3772852,  0.7636719
479, -0.3883008,  0.7832031
480, -0.3873828,  0.7832031
481, -0.3883008,  0.7500000
482, -0.3671875,  0.7109375
483, -0.3745313,  0.7480469
484, -0.3791211,  0.7539062
485, -0.3855469,  0.7558594
486, -0.3956445,  0.7578125
487, -0.3754492,  0.7500000
488, -0.3708594,  0.7246094
489, -0.3616797,  0.7070312
490, -0.3635156,  0.7187500
491, -0.3552539,  0.7109375
492, -0.3671875,  0.7597656
493, -0.3561719,  0.7675781
494, -0.3607617,  0.7539062
495, -0.3662695,  0.7890625
496, -0.3589258,  0.7382812
497, -0.3488281,  0.7089844
498, -0.3396484,  0.7226562
499, -0.3525000,  0.7304688
500, -0.3552539,  0.7460938
501, -0.3671875,  0.7421875
502, -0.3635156,  0.7851562
503, -0.3598438,  0.7968750
504, -0.3580078,  0.7910156
505, -0.3754492,  0.8183594
506, -0.3561719,  0.7636719
507, -0.3717773,  0.7753906
508, -0.3589258,  0.7500000
509, -0.3708594,  0.7363281
510, -0.3662695,  0.7519531
511, -0.3598438,  0.7617188
512, -0.3488281,  0.7304688
513, -0.3479102,  0.7519531
514, -0.3534180,  0.7421875
515, -0.3717773,  0.7519531
516, -0.3598438,  0.7890625
517, -0.3772852,  0.8105469
518, -0.3763672,  0.8085938
519, -0.3662695,  0.7773438
520, -0.3827930,  0.8066406
521, -0.3864648,  0.8242188
522, -0.3919727,  0.8203125
523, -0.3809570,  0.8378906
524, -0.3699414,  0.8085938
525, -0.3598438,  0.7734375
526, -0.3607617,  0.7578125
527, -0.3616797,  0.7500000
528, -0.3515820,  0.7382812
529, -0.3662695,  0.7343750
530, -0.3607617,  0.7246094
531, -0.3671875,  0.7207031
532, -0.3644336,  0.7421875
533, -0.3809570,  0.8007812
534, -0.3818750,  0.8105469
535, -0.3855469,  0.8183594
536, -0.3947266,  0.8574219
537, -0.3965625,  0.8730469
538, -0.4066602,  0.8886719
539, -0.3993164,  0.8828125
540, -0.4039063,  0.8867188
541, -0.3782031,  0.8593750
542, -0.3855469,  0.8671875
543, -0.3956445,  0.8789062
544, -0.3993164,  0.8945312
545, -0.4020703,  0.9121094
546, -0.3928906,  0.8886719
547, -0.3864648,  0.8769531
548, -0.3671875,  0.8593750
549, -0.3699414,  0.8535156
550, -0.3736133,  0.8632812
551, -0.3855469,  0.8808594
